Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
resource competition strength,resource competition strength,0,resource acquisition,competitive ability,,competitive ability,resource competition strength,,,,,NH
resource density independent death rate,resource density independent death rate,0,resource acquisition,competitive ability,,competitive ability,resource density independent death rate,,,,,NH
social status,social status,0,resource acquisition,competitive ability,,competitive ability,social status,,,,,NH
role of epibiosis,role of epibiosis,1,survival,competitive ability,,competitive ability,role of epibiosis,,,,,NH
body condition,body condition,0,growth,condition,,condition,body condition,,,,,CB
condition index,condition index,0,growth,condition,,condition,condition index,,,,,CB
fineness ratio,fineness ratio,1,morphology,condition,,condition,fineness ratio,,1,NH: morphometrics? What is the function?,CB: ratio of length to maximum cross sectional diameter,NH
hepatosomatic index,hepatosomatic index,0,morphology,condition,,condition,hepatosomatic index,,1,"Coudl have a secondary classification for ""indicators"". This is an overall animal health/energy status indicator.",secondary,NH
apparent consumption rate,apparent consumption rate,0,resource acquisition,consumption rate,,consumption rate,apparent consumption rate,,,,,NH
carcass use efficiency,carcass use efficiency,0,resource acquisition,consumption rate,,consumption rate,carcass use efficiency,,,,,NH
change in feeding regime,change in feeding regime,0,resource acquisition,consumption rate,,consumption rate,change in feeding regime,,,,,NH
